id,status,funded_amount,activity,country,geo_level,post,expire,loan_amount,humans,smile,gender,age
1304364,fundraising,0,Farming,Kenya,town,2017-05-29T22:40:03Z,2017-06-28T22:40:03Z,400,S,0.003,male,9.7
1304371,fundraising,0,Farming,Kenya,town,2017-05-29T22:40:03Z,2017-06-28T22:40:03Z,500,NA,NA,NA,NA
1304512,funded,200,Farming,Kenya,town,2017-05-29T22:40:03Z,2017-06-28T22:40:03Z,200,NA,NA,NA,NA
1304513,funded,950,Cloth & Dressmaking Supplies,Tajikistan,town,2017-05-29T22:40:02Z,2017-06-28T22:40:02Z,950,S,0.994,female,40.4
1308125,funded,400,Crafts,El Salvador,town,2017-05-29T22:30:03Z,2017-06-28T22:30:03Z,400,S,0.28,male,33.5
1308126,funded,400,Food Production/Sales,El Salvador,town,2017-05-29T22:30:03Z,2017-06-28T22:30:03Z,400,S,0.212,male,40.6
1308127,funded,225,Farming,El Salvador,town,2017-05-29T22:30:03Z,2017-06-28T22:30:03Z,225,S,0.144,male,57.1
1304503,funded,400,Food Market,Liberia,town,2017-05-29T22:30:02Z,2017-06-28T22:30:02Z,400,S,0,male,37.5
1308111,fundraising,250,Clothing Sales,Peru,town,2017-05-29T22:20:05Z,2017-06-28T22:20:05Z,475,S,0.036,female,67.3
1302004,funded,1025,Clothing,Burkina Faso,town,2017-05-29T22:20:04Z,2017-06-28T22:20:04Z,1025,NA,NA,NA,NA
1304336,fundraising,50,Fruits & Vegetables,Kenya,town,2017-05-29T22:20:04Z,2017-06-28T22:20:03Z,300,S,0.962,female,14.7
1304344,fundraising,0,Farming,Kenya,town,2017-05-29T22:20:04Z,2017-06-28T22:20:04Z,500,NA,NA,NA,NA
1308077,fundraising,0,Mobile Phones,Colombia,town,2017-05-29T22:20:04Z,2017-06-28T22:20:04Z,1150,S,0.001,male,48.3
1304502,funded,375,Sewing,Tajikistan,town,2017-05-29T22:20:02Z,2017-06-28T22:20:02Z,375,S,0,female,59.8
1304494,funded,2525,Renewable Energy Products,Kenya,town,2017-05-29T22:10:04Z,2017-06-28T22:10:04Z,2525,S,0.027,male,28.8
1304334,funded,200,Poultry,Kenya,town,2017-05-29T22:10:03Z,2017-06-28T22:10:03Z,200,NA,NA,NA,NA
1304498,fundraising,0,Farming,Kenya,town,2017-05-29T22:10:03Z,2017-06-28T22:10:03Z,600,S,0.963,male,27.7
1304501,fundraising,75,Farming,Kenya,town,2017-05-29T22:10:03Z,2017-06-28T22:10:03Z,300,S,0.061,female,25.3
1304499,funded,250,Higher education costs,Tajikistan,town,2017-05-29T22:10:02Z,2017-06-28T22:10:02Z,250,S,0.336,male,22
1304479,funded,150,Farming,Nigeria,town,2017-05-29T22:00:03Z,2017-06-28T22:00:03Z,150,S,0.075,male,34
1304492,funded,1250,Retail,Ghana,town,2017-05-29T22:00:03Z,2017-06-28T22:00:03Z,1250,M,NA,NA,NA
1304493,funded,125,Farming,Nigeria,town,2017-05-29T22:00:03Z,2017-06-28T22:00:03Z,125,S,0.169,male,32.5
1304495,funded,800,Grocery Store,Yemen,town,2017-05-29T22:00:03Z,2017-06-28T22:00:03Z,800,S,0.706,male,43.7
1304496,fundraising,50,Farming,Nigeria,town,2017-05-29T22:00:03Z,2017-06-28T22:00:03Z,200,S,0.219,male,37.2
1304497,funded,500,Grocery Store,Nepal,town,2017-05-29T22:00:02Z,2017-06-28T22:00:02Z,500,S,0.097,female,41
1301998,funded,250,Butcher Shop,Madagascar,town,2017-05-29T21:50:06Z,2017-06-28T21:50:06Z,250,S,0.045,female,32.6
1304482,funded,400,Dairy,Pakistan,town,2017-05-29T21:50:06Z,2017-06-28T21:50:06Z,400,S,0.104,female,58.3
1304485,fundraising,25,Sporting Good Sales,Pakistan,town,2017-05-29T21:50:06Z,2017-06-28T21:50:06Z,350,S,0.008,female,64.5
1304302,funded,1000,Cattle,Cambodia,town,2017-05-29T21:50:05Z,2017-06-28T21:50:05Z,1000,M,NA,NA,NA
1304483,fundraising,50,Cattle,Armenia,town,2017-05-29T21:50:05Z,2017-06-28T21:50:05Z,1050,S,1,female,47.7
1304484,fundraising,50,Farming,Nigeria,town,2017-05-29T21:50:05Z,2017-06-28T21:50:05Z,375,S,0.004,male,34.9
1304489,fundraising,0,Cattle,Tajikistan,town,2017-05-29T21:50:05Z,2017-06-28T21:50:05Z,825,S,0,male,34.1
1304323,fundraising,0,Farming,Kenya,town,2017-05-29T21:50:04Z,2017-06-28T21:50:04Z,500,NA,NA,NA,NA
1304486,fundraising,50,Fruits & Vegetables,Kenya,town,2017-05-29T21:50:04Z,2017-06-28T21:50:04Z,250,NA,NA,NA,NA
1304488,funded,500,Retail,Kenya,town,2017-05-29T21:50:04Z,2017-06-28T21:50:04Z,500,S,0.359,male,30.5
1304316,funded,225,Personal Housing Expenses,Philippines,town,2017-05-29T21:50:03Z,2017-06-28T21:50:03Z,225,S,0.011,male,56.1
1304487,fundraising,0,Agriculture,Tajikistan,town,2017-05-29T21:50:02Z,2017-06-28T21:50:02Z,2950,S,0,male,34.6
1304491,fundraising,0,Grocery Store,Tajikistan,town,2017-05-29T21:50:02Z,2017-06-28T21:50:02Z,600,S,0.555,female,64.4
1301993,funded,225,Textiles,Madagascar,town,2017-05-29T21:40:05Z,2017-06-28T21:40:05Z,225,S,0.999,male,33.8
1304481,fundraising,0,Tailoring,Pakistan,town,2017-05-29T21:40:05Z,2017-06-28T21:40:05Z,350,S,0.348,female,36.9
1304292,fundraising,0,Livestock,Cambodia,town,2017-05-29T21:40:04Z,2017-06-28T21:40:04Z,625,S,0,male,38.8
1304301,fundraising,150,Clothing Sales,Kenya,town,2017-05-29T21:40:04Z,2017-06-28T21:40:04Z,400,NA,NA,NA,NA
1304478,funded,2500,Higher education costs,Armenia,town,2017-05-29T21:40:04Z,2017-06-28T21:40:04Z,2500,S,0.43,female,27.4
1304480,funded,425,Personal Medical Expenses,Tajikistan,town,2017-05-29T21:40:03Z,2017-06-28T21:40:03Z,425,S,0.001,female,47.7
1304476,funded,350,Manufacturing,Pakistan,town,2017-05-29T21:30:04Z,2017-06-28T21:30:03Z,350,S,0.024,female,26.9
1304477,funded,350,Embroidery,Pakistan,town,2017-05-29T21:30:04Z,2017-06-28T21:30:04Z,350,S,0,female,29.7
1304285,funded,700,Farming,Cambodia,town,2017-05-29T21:30:03Z,2017-06-28T21:30:03Z,700,M,NA,NA,NA
1308069,fundraising,100,Agriculture,El Salvador,town,2017-05-29T21:30:03Z,2017-06-28T21:30:03Z,500,S,1,male,34.9
1304287,fundraising,0,Farming,Kenya,town,2017-05-29T21:30:02Z,2017-06-28T21:30:02Z,400,S,0.001,male,35.4
1301981,funded,200,Farming,Cameroon,country,2017-05-29T21:20:03Z,2017-06-28T21:20:02Z,200,NA,NA,NA,NA
1304475,fundraising,25,Tailoring,Pakistan,town,2017-05-29T21:20:03Z,2017-06-28T21:20:03Z,350,S,0,female,32.9
1308119,fundraising,150,General Store,El Salvador,town,2017-05-29T21:20:02Z,2017-06-28T21:20:02Z,500,S,0.872,female,41.7
1304473,funded,300,Dairy,Pakistan,town,2017-05-29T21:10:06Z,2017-06-28T21:10:06Z,300,S,0.816,female,29.4
1308115,funded,475,Food,Peru,town,2017-05-29T21:10:06Z,2017-06-28T21:10:06Z,475,S,0.056,female,32.3
1308122,fundraising,25,Agriculture,El Salvador,town,2017-05-29T21:10:06Z,2017-06-28T21:10:05Z,800,NA,NA,NA,NA
1304472,funded,200,Weaving,Philippines,town,2017-05-29T21:10:05Z,2017-06-28T21:10:04Z,200,S,0.022,male,50.9
1308116,fundraising,100,Pigs,El Salvador,town,2017-05-29T21:10:05Z,2017-06-28T21:10:05Z,1000,NA,NA,NA,NA
1308117,funded,300,Pigs,El Salvador,town,2017-05-29T21:10:05Z,2017-06-28T21:10:05Z,300,NA,NA,NA,NA
1304467,funded,350,Dairy,Pakistan,town,2017-05-29T21:00:07Z,2017-06-28T21:00:07Z,350,NA,NA,NA,NA
1304471,fundraising,50,Tailoring,Pakistan,town,2017-05-29T21:00:07Z,2017-06-28T21:00:07Z,300,S,0.866,female,29
1304463,funded,500,Embroidery,Pakistan,town,2017-05-29T21:00:06Z,2017-06-28T21:00:06Z,500,S,0.008,male,41.9
1304465,funded,125,Personal Housing Expenses,India,town,2017-05-29T21:00:06Z,2017-06-28T21:00:06Z,125,S,0.028,male,37.3
1304470,fundraising,0,Farming,Nigeria,town,2017-05-29T21:00:06Z,2017-06-28T21:00:06Z,200,NA,NA,NA,NA
1307980,fundraising,25,Personal Medical Expenses,Mexico,town,2017-05-29T21:00:06Z,2017-06-28T21:00:06Z,650,S,0.308,male,46.2
1308102,fundraising,100,Personal Medical Expenses,Mexico,town,2017-05-29T21:00:06Z,2017-06-28T21:00:06Z,1300,S,0.033,male,37.8
1308109,fundraising,125,Personal Medical Expenses,Mexico,town,2017-05-29T21:00:06Z,2017-06-28T21:00:06Z,1300,S,0.671,female,30.3
1301960,fundraising,0,Agriculture,Cameroon,country,2017-05-29T21:00:05Z,2017-06-28T21:00:05Z,675,NA,NA,NA,NA
1304464,fundraising,150,Agriculture,Armenia,town,2017-05-29T21:00:05Z,2017-06-28T21:00:05Z,3000,S,0.033,female,39.2
1308113,fundraising,125,Farming,El Salvador,town,2017-05-29T21:00:05Z,2017-06-28T21:00:05Z,225,S,0.009,male,75.5
1308120,funded,1000,Utilities,El Salvador,town,2017-05-29T21:00:05Z,2017-06-28T21:00:05Z,1000,NA,NA,NA,NA
1308121,funded,500,Crafts,El Salvador,town,2017-05-29T21:00:05Z,2017-06-28T21:00:05Z,500,S,0.026,male,30.9
1304466,funded,250,Pigs,Philippines,town,2017-05-29T21:00:04Z,2017-06-28T21:00:04Z,250,S,0.071,female,46.8
1304453,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:50:07Z,2017-06-28T20:50:06Z,300,S,0.314,male,86.9
1304456,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:50:07Z,2017-06-28T20:50:07Z,300,S,0.131,female,35
1304457,funded,300,Embroidery,Pakistan,town,2017-05-29T20:50:07Z,2017-06-28T20:50:07Z,300,S,0,female,12
1304437,funded,350,Tailoring,Pakistan,town,2017-05-29T20:50:06Z,2017-06-28T20:50:06Z,350,S,0.085,female,27.1
1304445,fundraising,75,Tailoring,Pakistan,town,2017-05-29T20:50:06Z,2017-06-28T20:50:06Z,300,S,0.162,male,44.6
1304450,fundraising,0,Tailoring,Pakistan,town,2017-05-29T20:50:06Z,2017-06-28T20:50:06Z,350,S,0.018,male,28.6
1304458,funded,200,Textiles,Pakistan,town,2017-05-29T20:50:06Z,2017-06-28T20:50:06Z,200,S,0.128,female,41.1
1307962,funded,400,Personal Medical Expenses,Mexico,town,2017-05-29T20:50:06Z,2017-06-28T20:50:06Z,400,S,0.204,male,32.4
1307974,fundraising,75,Personal Medical Expenses,Mexico,town,2017-05-29T20:50:06Z,2017-06-28T20:50:06Z,1200,S,0,male,41.3
1304459,funded,225,Cereals,Philippines,town,2017-05-29T20:50:05Z,2017-06-28T20:50:05Z,225,S,0.009,female,40.3
1308118,funded,450,Agriculture,El Salvador,town,2017-05-29T20:50:05Z,2017-06-28T20:50:05Z,450,S,0.625,female,31.4
1304309,funded,225,General Store,Philippines,town,2017-05-29T20:50:03Z,2017-06-28T20:50:03Z,225,S,0.773,male,38.4
1304308,funded,1200,Farming,Cambodia,town,2017-05-29T20:40:07Z,2017-06-28T20:40:07Z,1200,NA,NA,NA,NA
1304438,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:40:07Z,2017-06-28T20:40:07Z,350,S,0.014,female,44.1
1304440,funded,125,Personal Housing Expenses,India,town,2017-05-29T20:40:07Z,2017-06-28T20:40:07Z,125,S,0.587,male,51.1
1304441,funded,200,Retail,Pakistan,town,2017-05-29T20:40:07Z,2017-06-28T20:40:07Z,200,S,0.002,female,31.2
1304444,fundraising,50,Tailoring,Pakistan,town,2017-05-29T20:40:07Z,2017-06-28T20:40:07Z,300,S,0.032,male,41.8
1304446,fundraising,50,Tailoring,Pakistan,town,2017-05-29T20:40:07Z,2017-06-28T20:40:07Z,350,S,0.422,female,29.3
1308110,fundraising,0,General Store,El Salvador,town,2017-05-29T20:40:06Z,2017-06-28T20:40:06Z,800,S,0.002,female,51.9
1308112,funded,800,Pigs,El Salvador,town,2017-05-29T20:40:06Z,2017-06-28T20:40:06Z,800,NA,NA,NA,NA
1304443,funded,175,Pigs,Philippines,town,2017-05-29T20:40:05Z,2017-06-28T20:40:05Z,175,S,0.173,female,50
1304447,funded,750,Grocery Store,Jordan,town,2017-05-29T20:40:05Z,2017-06-28T20:40:05Z,750,S,0.551,female,41.9
1304448,funded,200,Pigs,Philippines,town,2017-05-29T20:40:05Z,2017-06-28T20:40:05Z,200,S,0.251,female,35.3
1304262,funded,225,General Store,Philippines,town,2017-05-29T20:40:03Z,2017-06-28T20:40:03Z,225,S,0.101,male,30.4
1304423,fundraising,0,Livestock,Tajikistan,town,2017-05-29T20:40:02Z,2017-06-28T20:40:02Z,825,S,0.579,female,46.6
1308106,funded,625,Food Stall,Peru,town,2017-05-29T20:30:06Z,2017-06-28T20:30:06Z,625,NA,NA,NA,NA
1304429,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:30:05Z,2017-06-28T20:30:05Z,350,S,0.024,female,23.1
1304433,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:30:05Z,2017-06-28T20:30:05Z,350,S,0.212,female,32.4
1304434,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:30:05Z,2017-06-28T20:30:05Z,350,S,0.042,female,41.6
1304435,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:30:05Z,2017-06-28T20:30:05Z,350,S,0.024,male,36.6
1308107,fundraising,175,Cattle,El Salvador,town,2017-05-29T20:30:05Z,2017-06-28T20:30:05Z,250,NA,NA,NA,NA
1304405,funded,125,Farming,Kenya,town,2017-05-29T20:30:04Z,2017-06-28T20:30:04Z,125,NA,NA,NA,NA
1304439,funded,1175,Manufacturing,Jordan,town,2017-05-29T20:30:04Z,2017-06-28T20:30:04Z,1175,S,0.366,male,34.5
1308108,funded,850,Agriculture,Costa Rica,town,2017-05-29T20:30:04Z,2017-06-28T20:30:03Z,850,S,0.019,male,25.4
1304286,funded,225,Food Production/Sales,Philippines,town,2017-05-29T20:30:03Z,2017-06-28T20:30:03Z,225,S,0.126,female,28.4
1304431,fundraising,200,Home Appliances,Tajikistan,town,2017-05-29T20:30:03Z,2017-06-28T20:30:03Z,600,S,0.18,female,25.7
1304303,funded,475,Higher education costs,Tajikistan,town,2017-05-29T20:30:02Z,2017-06-28T20:30:02Z,475,S,0.008,female,59.4
1304420,funded,175,Personal Housing Expenses,India,town,2017-05-29T20:20:06Z,2017-06-28T20:20:06Z,175,S,0.753,female,21.5
1304424,funded,125,Personal Housing Expenses,India,town,2017-05-29T20:20:06Z,2017-06-28T20:20:06Z,125,S,0.023,female,27.9
1304428,fundraising,25,Tailoring,Pakistan,town,2017-05-29T20:20:06Z,2017-06-28T20:20:06Z,350,S,0.03,female,28.9
1308104,fundraising,100,Personal Housing Expenses,Mexico,town,2017-05-29T20:20:05Z,2017-06-28T20:20:05Z,450,S,0.662,female,25.9
1308105,fundraising,150,Perfumes,El Salvador,town,2017-05-29T20:20:05Z,2017-06-28T20:20:05Z,375,S,0.194,female,46.6
1304404,funded,2075,Event Planning,Armenia,town,2017-05-29T20:20:04Z,2017-06-28T20:20:04Z,2075,S,0.213,female,37.2
1304417,funded,325,Construction,Philippines,town,2017-05-29T20:20:04Z,2017-06-28T20:20:04Z,325,NA,NA,NA,NA
1304422,fundraising,75,Agriculture,Armenia,town,2017-05-29T20:20:04Z,2017-06-28T20:20:04Z,2075,S,0.167,female,33.8
1308101,funded,775,Higher education costs,Peru,town,2017-05-29T20:20:03Z,2017-06-28T20:20:03Z,775,S,0.144,male,37.2
1304413,funded,175,Personal Housing Expenses,India,town,2017-05-29T20:10:06Z,2017-06-28T20:10:06Z,175,S,0.39,female,26.3
1304416,funded,175,Personal Housing Expenses,India,town,2017-05-29T20:10:06Z,2017-06-28T20:10:06Z,175,S,0.107,male,35.2
1304393,funded,225,Home Appliances,Cambodia,town,2017-05-29T20:10:05Z,2017-06-28T20:10:05Z,225,NA,NA,NA,NA
1304408,funded,175,Home Appliances,Cambodia,town,2017-05-29T20:10:05Z,2017-06-28T20:10:05Z,175,M,NA,NA,NA
1308103,funded,500,Agriculture,El Salvador,town,2017-05-29T20:10:05Z,2017-06-28T20:10:05Z,500,NA,NA,NA,NA
1304325,funded,225,Water Distribution,Philippines,town,2017-05-29T20:10:04Z,2017-06-28T20:10:04Z,225,S,0.002,female,70.5
1304410,funded,200,Farming,Kenya,town,2017-05-29T20:10:04Z,2017-06-28T20:10:04Z,200,S,0.027,male,78.7
1304419,fundraising,100,Agriculture,Tajikistan,town,2017-05-29T20:10:03Z,2017-06-28T20:10:03Z,1200,S,0.255,male,41.5
1304412,fundraising,500,Motorcycle Repair,Lebanon,town,2017-05-29T20:10:02Z,2017-06-28T20:10:02Z,2500,S,0,male,30.9
1304402,funded,225,Home Appliances,Cambodia,town,2017-05-29T20:00:05Z,2017-06-28T20:00:05Z,225,NA,NA,NA,NA
1301845,fundraising,0,Farming,Cameroon,country,2017-05-29T20:00:04Z,2017-06-28T20:00:04Z,375,S,0.291,male,44
1304365,fundraising,25,Fruits & Vegetables,Tajikistan,town,2017-05-29T20:00:04Z,2017-06-28T20:00:04Z,250,S,0.006,male,26.3
1304400,fundraising,100,Farming,Cambodia,town,2017-05-29T20:00:04Z,2017-06-28T20:00:04Z,975,M,NA,NA,NA
1304403,funded,850,Mobile Transactions,Malawi,town,2017-05-29T20:00:04Z,2017-06-28T20:00:04Z,850,S,0.996,female,21.4
1301770,funded,3400,Tailoring,Congo (Dem. Rep.),country,2017-05-29T20:00:03Z,2017-06-28T20:00:03Z,3400,M,NA,NA,NA
1304382,fundraising,0,Cereals,Kenya,town,2017-05-29T20:00:03Z,2017-06-28T20:00:03Z,700,S,0.323,female,40
1304406,funded,725,Higher education costs,Jordan,town,2017-05-29T20:00:03Z,2017-06-28T20:00:03Z,725,S,0.007,female,24.1
1304398,fundraising,25,Sewing,Tajikistan,town,2017-05-29T20:00:02Z,2017-06-28T20:00:02Z,600,S,0.379,female,43.9
1304392,funded,400,Furniture Making,India,town,2017-05-29T19:50:07Z,2017-06-28T19:50:07Z,400,S,0.059,female,49.7
1304389,funded,1300,Decorations Sales,Jordan,town,2017-05-29T19:50:06Z,2017-06-28T19:50:06Z,1300,S,0.706,female,47.8
1304395,fundraising,0,Farming,Kenya,town,2017-05-29T19:50:06Z,2017-06-28T19:50:06Z,400,S,0.24,female,8.6
1308093,funded,275,Home Energy,Honduras,town,2017-05-29T19:50:06Z,2017-06-28T19:50:06Z,275,S,0.071,female,60.7
1308094,funded,2900,Higher education costs,Peru,town,2017-05-29T19:50:06Z,2017-06-28T19:50:06Z,2900,S,1,female,36.1
1304054,funded,225,General Store,Philippines,town,2017-05-29T19:50:05Z,2017-06-28T19:50:05Z,225,S,0.341,male,46.2
1304359,funded,225,General Store,Philippines,town,2017-05-29T19:50:05Z,2017-06-28T19:50:05Z,225,S,0.041,male,35.6
1304384,fundraising,0,Food Stall,Kenya,town,2017-05-29T19:50:03Z,2017-06-28T19:50:03Z,500,S,0.011,female,50.2
1304394,funded,200,Retail,Kenya,town,2017-05-29T19:50:03Z,2017-06-28T19:50:03Z,200,S,0.003,male,24.2
1304397,fundraising,0,General Store,Kenya,town,2017-05-29T19:50:03Z,2017-06-28T19:50:03Z,600,S,0.343,male,40.9
1308100,funded,775,Higher education costs,Peru,town,2017-05-29T19:50:02Z,2017-06-28T19:50:02Z,775,S,0.028,female,24.7
1304376,funded,225,Home Appliances,Cambodia,town,2017-05-29T19:40:05Z,2017-06-28T19:40:05Z,225,S,0,male,45.9
1304379,funded,125,Home Appliances,Cambodia,town,2017-05-29T19:40:05Z,2017-06-28T19:40:05Z,125,M,NA,NA,NA
1304381,fundraising,0,Farming,Kenya,town,2017-05-29T19:40:05Z,2017-06-28T19:40:05Z,350,NA,NA,NA,NA
1304385,funded,225,Home Appliances,Cambodia,town,2017-05-29T19:40:05Z,2017-06-28T19:40:05Z,225,NA,NA,NA,NA
1308092,funded,925,Agriculture,Peru,town,2017-05-29T19:40:05Z,2017-06-28T19:40:05Z,925,NA,NA,NA,NA
1308099,fundraising,225,Clothing Sales,Peru,town,2017-05-29T19:40:05Z,2017-06-28T19:40:05Z,925,S,0.058,female,33.9
1304377,funded,225,Construction,Philippines,town,2017-05-29T19:40:04Z,2017-06-28T19:40:04Z,225,S,0.181,male,28.4
1303479,funded,750,Cosmetics Sales,Lebanon,country,2017-05-29T19:40:03Z,2017-06-28T19:40:03Z,750,S,0.066,female,41.6
1304372,funded,1000,Farming,Cambodia,town,2017-05-29T19:40:03Z,2017-06-28T19:40:03Z,1000,S,0.126,female,43.3
1304375,funded,600,Farming,Tajikistan,town,2017-05-29T19:40:03Z,2017-06-28T19:40:03Z,600,NA,NA,NA,NA
1304369,funded,200,Grocery Store,Kenya,town,2017-05-29T19:30:04Z,2017-06-28T19:30:04Z,200,NA,NA,NA,NA
1304373,funded,100,Home Appliances,Cambodia,town,2017-05-29T19:30:04Z,2017-06-28T19:30:04Z,100,S,0.846,female,43.5
1304374,funded,200,Used Clothing,Kenya,town,2017-05-29T19:30:04Z,2017-06-28T19:30:04Z,200,S,0.001,male,42.2
1308090,funded,875,Agriculture,Honduras,town,2017-05-29T19:30:04Z,2017-06-28T19:30:04Z,875,NA,NA,NA,NA
1304367,funded,500,Beauty Salon,Lebanon,town,2017-05-29T19:30:03Z,2017-06-28T19:30:02Z,500,S,0,female,25.3
1308098,fundraising,225,Personal Housing Expenses,Costa Rica,town,2017-05-29T19:30:03Z,2017-06-28T19:30:03Z,1700,S,0.117,female,35
1304342,fundraising,675,Dental,Lebanon,town,2017-05-29T19:30:02Z,2017-06-28T19:30:02Z,2500,M,NA,NA,NA
1304370,funded,250,Higher education costs,Tajikistan,town,2017-05-29T19:30:02Z,2017-06-28T19:30:02Z,250,S,0.527,male,33.1
1301764,funded,175,Cosmetics Sales,Madagascar,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,175,S,0.006,male,29.1
1304268,funded,400,Weaving,India,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,400,S,0.003,female,24.5
1304360,funded,225,Home Appliances,Cambodia,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,225,S,0.467,male,51.5
1304363,funded,225,Home Appliances,Cambodia,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,225,NA,NA,NA,NA
1308087,fundraising,1300,Higher education costs,Peru,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,4200,NA,NA,NA,NA
1308096,funded,475,Poultry,Peru,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,475,S,0.87,female,41
1308097,funded,625,Farming,Peru,town,2017-05-29T19:20:08Z,2017-06-28T19:20:08Z,625,NA,NA,NA,NA
1304267,funded,225,Home Appliances,Cambodia,town,2017-05-29T19:20:07Z,2017-06-28T19:20:07Z,225,NA,NA,NA,NA
1304274,funded,225,Home Appliances,Cambodia,town,2017-05-29T19:20:07Z,2017-06-28T19:20:07Z,225,M,NA,NA,NA
1304338,funded,175,Home Appliances,Cambodia,town,2017-05-29T19:20:07Z,2017-06-28T19:20:07Z,175,NA,NA,NA,NA
1304355,fundraising,75,Personal Housing Expenses,Kosovo,country,2017-05-29T19:20:07Z,2017-06-28T19:20:07Z,1150,S,0.109,female,75.7
1304357,funded,175,Home Appliances,Cambodia,town,2017-05-29T19:20:07Z,2017-06-28T19:20:07Z,175,NA,NA,NA,NA
